,PartNumber,Description,Count,SumPrice,BookingCode,DocumentId
0,AVFC,Fehlercode auslesen/zurücksetzen,0.3,,E101,61784A9D-1DFF-4D7F-832E-7A8ABA731A92
1,570500076D842,"Starterbatterie BLUE dynamic
EFB",1.0,207.58,C201,6C4AD3D3-84D6-497B-913B-7D4170253234
2,99999999,Flüssigkeitsmanagment,,14.0,E405,0EBC8A63-96D5-434A-B819-0FDD5C58DCD5
3,N10437301,BATTERIE,1.0,3.3,I104,A6F29568-3477-40D0-B6B2-6B73C6DCDB67
4,66126912985,"Knopfzelle 3,2 V-
CR2032",1.0,3.33,I104,4B9D3ED4-DA1E-4566-BBD7-72D30169A244
5,1030025,"Wartungsdienst nach
Herstellervorgabe (siehe
Wartungsplan): Inspektions-
Service mit Ölwechsel
durchführen",15.0,153.0,E220,7A3919F9-CD4A-4501-A3A1-2D7882BFDBEB
6,OX10,"OX1075D Ölfilter
Zubehör",1.0,13.84,E413,6331DD55-6072-4D13-A539-77D563403A29
7,27060150,Batterie geprüft,,12.1,C103,8BB63D11-5276-4B14-864A-E6E0606C80AA
8,27068950,Batterie laden,1.0,10.2,G116,617E02A6-5257-4879-A051-D5CB28DCFD03
9,SPL1001360320000,AdBlue 1 Liter,13.0,37.7,A101,46CC90D8-3EBA-4C79-99A5-816030C231CA
10,85455B48FA2,"245/50R19 105H Goodyear
Ultra Grip Performance
Kraftstoffeffizienzklasse : B
Nasshaftungsklasse
Lautstärke in DB
Fahrzeug hat eine Reifenpanne
Da der Reifen zuzeit nicht
2 Reifen montiert.",2.0,386.56,P411,2B0339D6-D676-447E-88E9-219AE1F64F48
11,1-EBC-37,"Hol-und Bringservice 5,01
bis 20,00 KM (bis 5 km
einfache Strecke kostenlos)",1.0,27.5,X608,ED9158CF-F198-4A03-AC79-13EB304C1242
12,WZS,Waschanlagenzusatz,3.0,3.75,E418,ED82A464-9370-49B7-BFA6-EF8C76982EDF
13,5010N10528301,BATTERIE,2.0,6.83,I104,D681F3B0-F0C8-4324-A0F3-04DDB93E9BBC
14,94751900,"Glühlampe f Rückfahrleuchte aus-u.einba
u.eingebaut",,21.4,L103,EE266BEE-A47E-4B79-9FFB-DBA86C2983CA
15,83A073227A8Z8,KOMPL.RAD,4.0,1366.1,P706,43C6DA6C-129C-46F1-9F58-647FF478DC6C
16,2414781,MATTE-PASSFORM-VELOUR,1.0,75.02,Q213,C9B9587C-EC5E-46E7-BAD7-A47334CE1849
17,3528709201728,"Transporter Winter 15""/16"" |
225/75R16C*R TL AGILIS
ALPIN 121/120R",2.0,389.08,P420,6DD22296-7C3B-4721-9D0F-A64D8B4A1E2A
18,F026407327,"Ölfilter |F026407 327
Ölfilter",1.0,13.95,E413,9ABDEA4F-335B-4ABE-A67E-80A541C10BE8
19,2629110,KENNZEICHENLEUCHTE RE./LI.,1.0,10.1,L102,8072B0E7-82E2-4A78-AAFE-C9F86699E42C
20,9999,Motoröl nachfüllen,0.0,8.5,E405,F45474A2-0DF4-47A0-8097-BA46EAD5DF61
21,P201,Räderwechsel inkl. Einlagerung,,100.0,P149,1A0F27B5-874A-46BB-B69C-43089C4E3484
22,19010100,Dichtheit Kühlsystem prüfen,2.0,23.3,R210,45847959-DB4B-4582-9579-5D31D3EBC6F2
23,,"Dienstleistung Ölwechsel |
0,1L HELIX ULTRA PROF
AR-L 0W20",5.0,9.5,E412,564B3046-55BC-4A27-8051-64086A87DA89
24,3323000,"Frostschutz,
Scheibenreinigungsanlage
AntiFrost+KlarSicht",1.0,5.03,E416,7ED5D8B7-A2F7-479A-A47A-1F6774517DE7
25,1500000,GFS/GEFÜHRTE FUNKTION.,,21.0,E102,8A0FEC09-49C5-49F6-844E-CECEFB752C28
26,152,Abschleppkosten Fremdleistung,,160.0,X702,A51D1A02-32E3-47F9-ABCD-E3EF0AEAF7EB
27,38S0910,RUSSSENSOR AUSTAUSCH,0.5,59.0,G315,96F4E408-9E8F-4C1C-823F-891BAA8351F3
28,1300002,"Funktionsprüfung der Digitalen
Motor Elektronik (DME)",14.0,252.28,G109,2C9916B7-576D-480D-BFC6-C818F220353B
29,91,DEKRA,1.0,97.5,E319,C126D405-20EE-42CC-8E68-90262FDB3A34
30,98440799,4 Räder gewechselt/eingelagert + Wäsche,,83.19,P149,06E688AC-6299-4290-9CF2-3CFB1D2F3B76
31,93840000,INSPEKTION DURCHGEFüHRT,5.0,60.5,E249,A695654A-E87F-44F6-A5BB-4BF5136675C4
32,16050600,ANTIFROST KONZENTRAT,1.0,4.5,E416,8143EB38-AEA7-4B02-BBF2-1C5169715825
33,1500060,GES/GEFÜHRTE FUNKTION.,,14.7,E102,522879DF-CFBC-4681-BEF1-517E17ADDD93
34,27061900,Batterie aus-u.eingebaut,,36.0,C201,66AEF633-CE6F-4470-97A1-004D1CAF98D5
35,VO9481519,BATTERIE,1.0,4.72,I104,CDA3D6D6-BB96-442C-B5D7-23EB395E934A
36,93840000,Initial Servicing Operation,0.5,62.5,E247,516FA236-112F-4024-88B8-D56EF5AB6AC3
37,19010100,KÜHLSYSTEM GEPRÜFT,20.0,29.0,R210,1827FBB0-0663-4A23-AEC0-67E5DCEA93E7
38,19206502,"PKW, Hauptuntersuchung |
HU/AU Fremdleistung
Prüforg., 3.1.1.1 A. VIII
StVZO (BW)",1.0,154.0,E326,9E075412-AD08-460D-9F98-A2253040DCA5
39,104682490018530004,"PKW Stahlfelge 12""/13""|
5,5JX13 5/67/112 ET30",1.0,66.0,P601,D8D667C5-0349-45E0-9F9B-461DD0EF8C43
40,1085270,"BATTERIE 2032
Gesamt 1) Schlüsselbatteire erneuern",1.0,6.89,I104,45B0B97F-04F6-4CC2-8FFD-C359F8BD5DAD
41,EL550,Starterbatterie EFB,1.0,173.17,C201,617E02A6-5257-4879-A051-D5CB28DCFD03
42,122260,"Bremsscheibe Hinterachse
beide Seiten erneuern",0.8,88.0,F206,BB0FC4D7-2F51-4281-A926-BB6FFBEDFEEE
43,5LA054412F,LADEKABEL,1.0,284.87,W501,879C3FA5-539A-4C9A-AF05-C0E308C44774
44,1-EBC-345,"TUEV-ABNAHME / HU
NACH Para. 29 STVO",1.0,153.0,E325,EEA649FC-F9E8-4B44-B299-79DD6F415EF6
45,156,"Nachbelastung Abschleppen vom
10.06.2024",1.0,160.0,X702,7CB3E543-47ED-4117-B5D0-28EB2E3E8BAC
46,GJZW164DS,SCHEIBENREINIGER,1.0,6.19,E416,E6243B51-24A3-4787-A0A3-E3D6DB799F57
47,2382101,NOX SENSOR MIT MODUL 6.2,1.0,401.86,G315,20FFD42D-371F-445D-BDBB-55F97C323E3B
48,540566,BEF-SCHRAUBE F RAD,20.0,96.8,P130,FE2EA1C8-2421-4C96-A9DB-5B1CFDF93F0D
49,HU7020Z,"Ölfilter | Ölfilter
7020 z",1.0,14.36,E413,F5273830-3B12-4D7C-8DBF-5FBAE4E8312F
50,83125A85517,Scheibenklar mit Frostschutz,1.0,5.14,E416,5DB1C782-C061-41E7-9DE6-2A4589677FAA
51,SL,"Fehlerspeicher auslesen
Ruhestrom prüfen",0.4,17.09,E101,9F5285CA-939A-41DF-8DFA-7178A59006E4
52,2490405,BATTERIE,1.0,,C201,8E5AFC5A-CF01-4A35-A5CD-D69D355C64FE
53,AVF-HUO1,TÜV-Gebühren HU-Nachkontrolle,1.0,19.5,E310,E5F4DC9E-F092-4656-8137-8FFB23FCC988
54,ZPAKET99,"Radwechsel Plus Paket 119,90€ (Wechsel,
Waschen, Einlagern)",,100.76,P149,E1DDC69D-3294-4482-BF1A-7604CF925E4E
55,2490405,BATTERIE,1.0,232.6,C201,AC3108FA-0DF7-45C2-8077-7B2C9BD4C8A3
56,65E5AA,"FEHLERSPEICHERABFRAGE
STEUERGERAETEGLOBALTEST AM
FAHRZEUG",0.3,33.06,E101,89843F0E-8A70-4D3D-8BA2-A416B994615C
57,1154,Radwechselpaket PKW,4.0,54.0,P149,08D137C7-4666-4207-984B-A9ACB18EC981
58,94241900,"Umfeldleuchte aus-u.eingebaut.
AZ REDUZIERT VERBUND, BEACHTE AP
FÜR 2 LEUCHTEN!",,59.2,L107,C2640EEA-68E5-426E-82B3-0B076958CA66
59,701-8300015,"Treibstoffe (Service Artikel) |
1 LTR ADBLUE LIQUID |
AdBlue Harnstofflösung /
DIVERS / DIVERS /",10.0,41.9,A101,F5273830-3B12-4D7C-8DBF-5FBAE4E8312F
60,10917003,"PKW, sonst. Autoservice |
FAHRZEUGDIAGNOSE MIT
DIAGNOSETESTER",1.0,29.41,G109,08D572C7-357E-4D7E-AD26-66B8904D75E8
61,26931919,"PARTIKELSENSOR AUS-U.EINGEBAUT
UND ERSETZT (G784)",,75.0,G315,E77568EE-35FC-43FB-9F0B-A1DC60FA926E
62,312141,Batterie aus-und einbauen,0.3,34.5,C201,EAB620CB-6282-443F-B1DE-F1A7697D4CEF
63,44405501,1 REIFEN ERSETZT U. AUSGEWUCHTET,,16.81,P165,2053D10F-58D8-4A93-A796-357A01109C26
64,1090000,INSPEKTION MIT ÖLWECHSEL (FLEXIBEL),,239.7,E220,651E00B3-2552-423B-BECC-B2E1C2508D61
65,95515591,BATTERIE 12 V,1.0,264.98,C201,7DCA3CF5-6E3C-4C8A-9737-818F46921D38
66,WRL2,"Winterräder mont.-
Sommerräder einlagern
******************************",0.5,74.79,P149,3A205D7D-ED4C-4476-B24B-E68159EDDA5E
67,,"Öl 0W20 508.00/509.00
Ölnorm 50800/50900",1.0,18.73,E412,EBEFCDFC-3EE7-42AE-B83A-73139EA7F6A2
68,4N0971675G,LADEKABEL,1.0,230.64,W501,4BAD1D53-9B77-4442-990C-EDB7F62C9D74
69,ha,INKASSO TÜV und AU,1.0,158.66,E326,C53E6BFF-8C3C-402B-8683-A1C8944DB0A1
70,1617246180,"KONTROL GEHAUSE
2 TAGE LF ZEIT",1.0,85.19,I905,D630A3F3-295E-4D49-A819-99F397B88185
71,AW,"Normale Bedingungen-15 000 km/12 Monate
Die Durchführung der Inspektion erfolgt nach
Vorgabe des Herstellers.
Sämtliche Arbeitsschritte:
-Prüfarbeiten
-Kontrollarbeiten
-Einstellarbeiten
-Austauscharbeiten
sind im beigefügten Serviceplan dokumentiert und
bestätigt.",12.0,72.0,E211,897EB596-04A8-4D69-B597-8F1C530528C5
72,1109AL,OELFILTERPATRONE,3.5,,E413,185BB2DB-426F-4F81-8F23-2D25B39141E5
73,16050600,ANTIFROST KONZENTRAT,1.0,4.5,E416,AAAD6385-AC39-4D83-ADEF-8927A8D3A039
74,910315,"HAUPTUNTERSUCHUNG INKL.
ABGASUNTERSUCHUNG",1.0,155.4,E326,A26B3897-C24B-401A-9E96-8C24E03BE461
75,1-EBC-345,"TUEV-ABNAHME / HU
NACH Para. 29 STVO",1.0,153.0,E326,6CDC8D53-D743-44AE-B8E6-41F2A95EBC87
76,93840000,URSPRÜNGLICHE WARTUNGSARBEIT,0.5,56.25,E249,01986A84-A468-4380-B4BE-5E20F98B9F92
77,1199000,Fahrzeug Innenreinigung wegen,,194.39,X149,DD2FFBED-94AD-49E3-B8B2-6FACC82F226F
78,B000DS,BREMSFLUE,1.0,12.88,E402,97639383-E1E8-46BC-971E-33BC41216A7A
79,915089AC,089 AC,1.0,215.8,C201,1F6A7A64-E03D-4E50-AC3E-4C7C2D9AE29C
80,N10591501,GLUEHLAMPE,1.0,3.75,L102,E58CA6F0-C6A2-4848-B66D-B4776760EF31
81,FT2413061,"Scheibenklar mit
Frostschutz 1L, TU",2.0,8.4,E416,690B993F-4679-40C0-BC4C-9B6C990FB719
82,99976961,0W20 MagnProfD Castr,6.2,117.18,E441,3F18E994-A8AA-450B-A7CE-3DC18365451C
83,GW052164,WAZUS i.L,2.0,6.46,E416,4D15B0B6-3061-444C-99B9-A4D3BDD83589
84,93840000,URSPRÜNGLICHE WARTUNGSARBEIT,0.5,52.5,E249,9D2350D8-6C19-487B-9846-FA7B055FC4B9
85,G052910DS,ADBLUE,11.0,19.25,A101,216DA5DD-9A86-449C-B112-518E9A908887
86,3323000,"Frostschutz,
Scheibenreinigungsanlage
AntiFrost+KlarSicht",1.0,6.1,E416,CA85F219-7C7A-4449-8C69-DD04572D40EE
87,9D107210,"DIAGNOSE-10 FEHLERSUCHE AM
FAHRZEUG",1.0,218.4,G109,A61A74DD-F770-4718-B5FE-1EB09C850E27
88,330901,Stickoxid-Sensor (N0x) aus-und einbauen,0.3,28.83,G315,1A0FF8E1-2230-4308-820E-28E84920859E
89,312111,"BATTERIE PRÜFEN
->BATTERIE DEFEKT<-",0.2,23.31,C103,A285BAD1-39D7-4C9D-A0A2-8DEAD4F18EE4
90,915089AC,BATTERIE,1.0,215.8,C201,6C03D522-045C-4DE9-8F3C-8CCD5172A076
91,24.0125-0158.1,Bremsscheibe,2.0,187.3,F208,A7EE8B78-264D-473E-8AF4-848407ADFB1A
92,4038526044310,"215/60R17 100V XL
VECTOR 4SEASONS GEN-
3",4.0,549.12,P511,084D4B8E-7FA8-4893-B667-890B66CD1167
93,PAFR0058B,Frostschutz,1.0,10.38,R106,869E6A09-49AF-4042-BD28-922B6EA0BEE0
94,Z4400-01A,4 RÄDER WECHSELN/EINLAGERN,,108.4,P149,9B3DC5D8-2923-401C-B36C-94EF5BBDCC3E
95,512,Motoröl nachfüllen,1.0,12.9,E405,ECD9B0B2-16CE-4FF9-9FE5-AFD57FA6B3ED
96,24.0124-0127.1,Bremsscheibe,2.0,202.24,F208,3DCDAC6A-8BD7-4CC5-B61B-BB141CE15346
97,1169,"Montagepaket ohne
Entsorgung PKW Montage",4.0,68.0,P165,B9694049-3E9E-4FF0-ABA0-9AC443730689
98,7018300015,"Treibstoffe (Service Artikel) |
1 LTR ADBLUE LIQUID",6.0,19.5,A101,C1588A3A-3EF8-4E77-BD59-32D5BBFDEEDC
99,1500000,GFS/GEFÜHRTE FUNKTION,,16.5,E102,0C7B177C-25FD-4958-838F-DD787BE4AE1C
100,93840000,URSPRÜNGLICHE WARTUNGSARBEIT,0.6,80.0,E249,F805D7E8-9B3A-41A1-A5B7-6647DE72467B
101,8207,*KA AUSTAUSCH 12-V-BATTERIE,3.0,28.5,C201,30E94DC9-E085-410B-BC78-513FBC966910
102,14800501,"PKW, sonst. Autoservice |
ARBEITSWERT
INSPEKTION |
ARBEITSWERT
INSPEKTION",48.0,81.6,E220,9ABDEA4F-335B-4ABE-A67E-80A541C10BE8
103,95150A,DIAGNOSE UND FEHLERSUCHE-,10.0,115.0,E102,AAA8A180-9CCD-4720-AA26-7B4E84AB0F74
104,0986494799,"Bremsklötze |
Bremsbelagsatz, Scheib 0
986 494 799",1.0,101.25,F214,1FFB22FB-2FCC-42BB-B703-78BFD1F42210
105,0 092 S4E 081,Starterbatterie S4EEFB,1.0,214.6,C201,E96BC61A-04BB-4630-BCE8-5808FD5C2F79
106,15044950300,FAHRZEUG VORN U.HINTEN GEMESSEN,,136.06,T103,8DFE2981-C5C8-4D9E-AD28-E5B5A420CE7E
107,1050,SCHEIBENKLAR,1.0,4.31,E418,31572076-2CAC-42C1-A10F-F42E5887C2F5
108,1500060,"GFS/GEFÜHRTE FUNKTION.
FEHLERMELDUNG: ÖLSENSOR DEFEKT
-> KEIN RELEVANTER FEHLEREINTRAG,
PRÜFUNG I.O.",,27.51,E102,0B5BD418-072D-48BC-8FD8-FE99F2374AAC
109,17013550,Motoröl prüfen,0.1,11.0,E405,B0A6E1FA-36CA-437F-9150-B3DD9710612B
110,14800480,"PKW, div. Dienstleistungen |
0,1 L
SCHEIBENFROSTSCHUTZ",3.2,10.88,E416,531B2AEB-980F-44E1-B97B-AD5E90165EA2
111,1647883280,KIT 2 BREMSSCHEIBEN BELUEFTET,1.0,284.71,F208,50D3948D-A118-4DFF-A1D0-DDA9F132D0C6
