,PartNumber,Description,Count,SumPrice,BookingCode,DocumentId
0,AVFC,Read/reset error code,0.3,,E101,61784A9D-1DFF-4D7F-832E-7A8ABA731A92
1,570500076D842,"Starter battery Blue Dynamic
EFB",1.0,207.58,C201,6C4AD3D3-84D6-497B-913B-7D4170253234
2,99999999,Fluid management,,14.0,E405,0EBC8A63-96D5-434A-B819-0FDD5C58DCD5
3,N10437301,BATTERY,1.0,3.3,I104,A6F29568-3477-40D0-B6B2-6B73C6DCDB67
4,66126912985,"Button cell 3.2 V-
CR2032",1.0,3.33,I104,4B9D3ED4-DA1E-4566-BBD7-72D30169A244
5,1030025,"Maintenance service after
Manufacturer specification (see
Maintenance plan): Inspection
Service with oil change
carry out",15.0,153.0,E220,7A3919F9-CD4A-4501-A3A1-2D7882BFDBEB
6,OX10,"OX1075D oil filter
Accesories",1.0,13.84,E413,6331DD55-6072-4D13-A539-77D563403A29
7,27060150,Battery checked,,12.1,C103,8BB63D11-5276-4B14-864A-E6E0606C80AA
8,27068950,Battery shop,1.0,10.2,G116,617E02A6-5257-4879-A051-D5CB28DCFD03
9,SPL1001360320000,Adblue 1 liter,13.0,37.7,A101,46CC90D8-3EBA-4C79-99A5-816030C231CA
10,85455B48FA2,"245/50r19 105h Goodyear
Ultra Grip Performance
Fuel efficiency class: B
Wet liability class
Volume in DB
Vehicle has a tire breakdown
Since the tire is not currently
2 tires mounted.",2.0,386.56,P411,2B0339D6-D676-447E-88E9-219AE1F64F48
11,1-EBC-37,"Hol-and Bringservice 5.01
Up to 20.00 km (up to 5 km
simple route free)",1.0,27.5,X608,ED9158CF-F198-4A03-AC79-13EB304C1242
12,WZS,Washing system added,3.0,3.75,E418,ED82A464-9370-49B7-BFA6-EF8C76982EDF
13,5010N10528301,BATTERY,2.0,6.83,I104,D681F3B0-F0C8-4324-A0F3-04DDB93E9BBC
14,94751900,"Course lamp F reversing lamp from
U.",,21.4,L103,EE266BEE-A47E-4B79-9FFB-DBA86C2983CA
15,83A073227A8Z8,Complete wheel,4.0,1366.1,P706,43C6DA6C-129C-46F1-9F58-647FF478DC6C
16,2414781,Matte Passform Velor,1.0,75.02,Q213,C9B9587C-EC5E-46E7-BAD7-A47334CE1849
17,3528709201728,"Transporter Winter 15 ""/16"" |
225/75R16c*r tl agilis
Alpine 121/120R",2.0,389.08,P420,6DD22296-7C3B-4721-9D0F-A64D8B4A1E2A
18,F026407327,"Oil filter | F026407 327
Oil filter",1.0,13.95,E413,9ABDEA4F-335B-4ABE-A67E-80A541C10BE8
19,2629110,Lights on the license plate/li.,1.0,10.1,L102,8072B0E7-82E2-4A78-AAFE-C9F86699E42C
20,9999,Fill the engine oil,0.0,8.5,E405,F45474A2-0DF4-47A0-8097-BA46EAD5DF61
21,P201,Change of wheel including storage,,100.0,P149,1A0F27B5-874A-46BB-B69C-43089C4E3484
22,19010100,Check tightness cooling system,2.0,23.3,R210,45847959-DB4B-4582-9579-5D31D3EBC6F2
23,,"Service oil change |
0.1l Helix Ultra Prof
AR-L 0W20",5.0,9.5,E412,564B3046-55BC-4A27-8051-64086A87DA89
24,3323000,"Frost protection,
Panel cleaning system
AntiFrost+clearance",1.0,5.03,E416,7ED5D8B7-A2F7-479A-A47A-1F6774517DE7
25,1500000,GfS/guided function.,,21.0,E102,8A0FEC09-49C5-49F6-844E-CECEFB752C28
26,152,Towing costs external performance,,160.0,X702,A51D1A02-32E3-47F9-ABCD-E3EF0AEAF7EB
27,38S0910,Russian exchange,0.5,59.0,G315,96F4E408-9E8F-4C1C-823F-891BAA8351F3
28,1300002,"Functional test of the digital
Motor electronics (DME)",14.0,252.28,G109,2C9916B7-576D-480D-BFC6-C818F220353B
29,91,Decra,1.0,97.5,E319,C126D405-20EE-42CC-8E68-90262FDB3A34
30,98440799,4 wheels changed/stored + laundry,,83.19,P149,06E688AC-6299-4290-9CF2-3CFB1D2F3B76
31,93840000,Inspection carried out,5.0,60.5,E249,A695654A-E87F-44F6-A5BB-4BF5136675C4
32,16050600,Anti -frost concentrate,1.0,4.5,E416,8143EB38-AEA7-4B02-BBF2-1C5169715825
33,1500060,Led/guided function.,,14.7,E102,522879DF-CFBC-4681-BEF1-517E17ADDD93
34,27061900,Battery removed,,36.0,C201,66AEF633-CE6F-4470-97A1-004D1CAF98D5
35,VO9481519,BATTERY,1.0,4.72,I104,CDA3D6D6-BB96-442C-B5D7-23EB395E934A
36,93840000,Initial service operation,0.5,62.5,E247,516FA236-112F-4024-88B8-D56EF5AB6AC3
37,19010100,Cooling system checked,20.0,29.0,R210,1827FBB0-0663-4A23-AEC0-67E5DCEA93E7
38,19206502,"Car, main inspection |
HU/AU external performance
Prüz., 3.1.1.1 A. VIII
StVZO (BW)",1.0,154.0,E326,9E075412-AD08-460D-9F98-A2253040DCA5
39,104682490018530004,"Car steel rims 12 ""/13"" |
5.5JX13 5/67/112 ET30",1.0,66.0,P601,D8D667C5-0349-45E0-9F9B-461DD0EF8C43
40,1085270,"Battery 2032
Overall 1) Renew the key battery",1.0,6.89,I104,45B0B97F-04F6-4CC2-8FFD-C359F8BD5DAD
41,EL550,Starter battery EFB,1.0,173.17,C201,617E02A6-5257-4879-A051-D5CB28DCFD03
42,122260,"Brake disc rear axle
Renew both sides",0.8,88.0,F206,BB0FC4D7-2F51-4281-A926-BB6FFBEDFEEE
43,5LA054412F,Charging cable,1.0,284.87,W501,879C3FA5-539A-4C9A-AF05-C0E308C44774
44,1-EBC-345,"Tuev acceptance / HU
To para.29 StVO",1.0,153.0,E325,EEA649FC-F9E8-4B44-B299-79DD6F415EF6
45,156,"Low after relief from
10.06.2024",1.0,160.0,X702,7CB3E543-47ED-4117-B5D0-28EB2E3E8BAC
46,GJZW164DS,Disc cleaner,1.0,6.19,E416,E6243B51-24A3-4787-A0A3-E3D6DB799F57
47,2382101,NOx sensor with module 6.2,1.0,401.86,G315,20FFD42D-371F-445D-BDBB-55F97C323E3B
48,540566,Bef screw F wheel,20.0,96.8,P130,FE2EA1C8-2421-4C96-A9DB-5B1CFDF93F0D
49,HU7020Z,"Oil filter |Oil filter
7020 Z",1.0,14.36,E413,F5273830-3B12-4D7C-8DBF-5FBAE4E8312F
50,83125A85517,Disc clarification with frost protection,1.0,5.14,E416,5DB1C782-C061-41E7-9DE6-2A4589677FAA
51,SL,"Read out fault memory
Check peace flow",0.4,17.09,E101,9F5285CA-939A-41DF-8DFA-7178A59006E4
52,2490405,BATTERY,1.0,,C201,8E5AFC5A-CF01-4A35-A5CD-D69D355C64FE
53,AVF-HUO1,TÜV fees HU-follow-up control,1.0,19.5,E310,E5F4DC9E-F092-4656-8137-8FFB23FCC988
54,ZPAKET99,"Change of wheel change plus package € 119.90 (change,
Wash, store)",,100.76,P149,E1DDC69D-3294-4482-BF1A-7604CF925E4E
55,2490405,BATTERY,1.0,232.6,C201,AC3108FA-0DF7-45C2-8077-7B2C9BD4C8A3
56,65E5AA,"Error memory query
SteuergeraetGlobaltest on
VEHICLE",0.3,33.06,E101,89843F0E-8A70-4D3D-8BA2-A416B994615C
57,1154,Cycle change package car,4.0,54.0,P149,08D137C7-4666-4207-984B-A9ACB18EC981
58,94241900,"Environmental lamp.
AZ reduces composite, note AP
For 2 lights!",,59.2,L107,C2640EEA-68E5-426E-82B3-0B076958CA66
59,701-8300015,"Features (Service Article) |
1 LTR Adblue Liquid |
Adblue urea solution /
Divers / diverse /",10.0,41.9,A101,F5273830-3B12-4D7C-8DBF-5FBAE4E8312F
60,10917003,"Car, otherwise. Autoservice |
Vehicle diagnosis with
Diagnosis tester",1.0,29.41,G109,08D572C7-357E-4D7E-AD26-66B8904D75E8
61,26931919,"Particle sensor
And replaced (G784)",,75.0,G315,E77568EE-35FC-43FB-9F0B-A1DC60FA926E
62,312141,Battery out and install,0.3,34.5,C201,EAB620CB-6282-443F-B1DE-F1A7697D4CEF
63,44405501,1 tire replaced U.,,16.81,P165,2053D10F-58D8-4A93-A796-357A01109C26
64,1090000,Inspection with oil change (flexible),,239.7,E220,651E00B3-2552-423B-BECC-B2E1C2508D61
65,95515591,Battery 12 V,1.0,264.98,C201,7DCA3CF5-6E3C-4C8A-9737-818F46921D38
66,WRL2,"Winter bikes Mont.-
Store summer bikes
***************************",0.5,74.79,P149,3A205D7D-ED4C-4476-B24B-E68159EDDA5E
67,,"Oil 0W20 508.00/509.00
Oil standard 50800/50900",1.0,18.73,E412,EBEFCDFC-3EE7-42AE-B83A-73139EA7F6A2
68,4N0971675G,Charging cable,1.0,230.64,W501,4BAD1D53-9B77-4442-990C-EDB7F62C9D74
69,ha,Inkasso TÜV and AU,1.0,158.66,E326,C53E6BFF-8C3C-402B-8683-A1C8944DB0A1
70,1617246180,"Control housewife
2 days lf time",1.0,85.19,I905,D630A3F3-295E-4D49-A819-99F397B88185
71,AW,"Normal conditions 15,000 km/12 months
The inspection is carried out after
Prerequisite of the manufacturer.
All work steps:
-test work
-Controll work
-
-exchange work
are documented in the attached service plan and
confirmed.",12.0,72.0,E211,897EB596-04A8-4D69-B597-8F1C530528C5
72,1109AL,Oil filter cartridge,3.5,,E413,185BB2DB-426F-4F81-8F23-2D25B39141E5
73,16050600,Anti -frost concentrate,1.0,4.5,E416,AAAD6385-AC39-4D83-ADEF-8927A8D3A039
74,910315,"Main inspection including
Emissions",1.0,155.4,E326,A26B3897-C24B-401A-9E96-8C24E03BE461
75,1-EBC-345,"Tuev acceptance / HU
To para.29 StVO",1.0,153.0,E326,6CDC8D53-D743-44AE-B8E6-41F2A95EBC87
76,93840000,Original maintenance work,0.5,56.25,E249,01986A84-A468-4380-B4BE-5E20F98B9F92
77,1199000,Vehicle interior cleaning because of,,194.39,X149,DD2FFBED-94AD-49E3-B8B2-6FACC82F226F
78,B000DS,Brake flue,1.0,12.88,E402,97639383-E1E8-46BC-971E-33BC41216A7A
79,915089AC,089 AC,1.0,215.8,C201,1F6A7A64-E03D-4E50-AC3E-4C7C2D9AE29C
80,N10591501,Glue lamp,1.0,3.75,L102,E58CA6F0-C6A2-4848-B66D-B4776760EF31
81,FT2413061,"Disclar with
Frost protection 1l, TU",2.0,8.4,E416,690B993F-4679-40C0-BC4C-9B6C990FB719
82,99976961,0W20 MagnProfd Castr,6.2,117.18,E441,3F18E994-A8AA-450B-A7CE-3DC18365451C
83,GW052164,Wazus i.L,2.0,6.46,E416,4D15B0B6-3061-444C-99B9-A4D3BDD83589
84,93840000,Original maintenance work,0.5,52.5,E249,9D2350D8-6C19-487B-9846-FA7B055FC4B9
85,G052910DS,Adblue,11.0,19.25,A101,216DA5DD-9A86-449C-B112-518E9A908887
